coreid,mofid-v1,mofid-v2,LCD_(Å),PLD_(Å),LFPD_(Å),Density_(g/cm3),ASA_(A2),ASA_(m2/cm3),ASA_(m2/g),NASA_(A2),NASA_(m2/cm3),NASA_(m2/g),PV_(A3),VF,PV_(cm3/g),NAV_(A3),NPV_(cm3/g),structure_dimension,topology(SingleNodes),topology(AllNodes),catenation,dimension_by_topo,hall,number_spacegroup,Metal_Types,Has_OMS,OMS_Types,average_atomic_mass,Heat_capacity@300K_(J/g/K),Heat_capacity@350K_(J/g/K),Heat_capacity@400K_(J/g/K),natoms,Thermal_stability_(°C),Solvent_stability,Water_stability,KH_Classes,category
0000[Cd][nan]3[ASR]2,[Cd].[O-]C(=O)c1ccc(cc1)c1cc(cc(c1)c1ccc(cc1)C(=O)[O-])c1ccc(cc1)C(=O)[O-].n1ccc(cc1)c1ccncc1 MOFid-v1.unknown.cat0;EBEVAK_ASR_pacman,[C3Cd1O6_Type-1].[O-1][C][=Branch1][C][=O][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][C][=C][C][=Branch2][Ring1][#Branch1][=C][C][=Branch1][Ring2][=C][Ring1][=Branch1][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][C][=Branch1][C][=O][O-1][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][C][=Branch1][C][=O][O-1].[N][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][C][=C][C][=N][C][=C][Ring1][=Branch1] MOFid-v2.UNKNOWN.cat0;EBEVAK_ASR_pacman,7.55204,6.31126,7.55204,1.0416,1131.54,1417.47,1360.86,0.0,0.0,0.0,4551.78,0.5702,0.547426,0.0,0.0,3,unknown,unknown,3,3,-P 2ybc,14,Cd,No,,10.60859932,0.853248699,0.966411357,1.026663694,472,366.4,0.9004278,0.63,strong,strong&stable
0000[Cd][nan]3[ASR]6,unknown,[C6Cd3O12_Type-1].[O-1][C][=Branch1][C][=O][C][=C][C][=Branch2][Ring1][#C][=C][C][=Branch1][Ring2][=C][Ring1][=Branch1][C][=C][C][=C][C][=Branch1][Ring2][=C][Ring1][=Branch1][C][=C][C][=Branch1][Ring2][=C][Ring1][#Branch1][C][=Branch1][C][=O][O-1][C][=Branch1][C][=O][O-1] MOFid-v2.UNKNOWN.cat0;OKOSUE_ASR_pacman,8.85165,8.03949,8.85165,0.943259,1422.97,2013.15,2134.25,0.0,0.0,0.0,4796.58,0.6786,0.71942,0.0,0.0,3,unknown,unknown,1,3,-C 2yc,15,Cd,Yes,Cd,14.13768056,0.693754066,0.775323942,0.823084227,284,413.3,0.9698975,0.709692308,strong,strong&stable
0000[Cd][nan]3[FSR]1,[Cd].[O-]C(=O)c1cc(cc(c1)c1ccc2c(c1)ccc(c2)C(=O)[O-])C(=O)[O-].[OH2][Cd].[OH2][Cd][OH2] MOFid-v1.unknown.cat0;OKOSUE_FSR_pacman,,8.85165,6.71251,8.82997,0.994046,1473.44,2084.56,2097.04,0.0,0.0,0.0,4629.77,0.655,0.658923,0.0,0.0,3,unknown,unknown,1,3,-P 2ybc,14,Cd,No,,13.2227645,0.742192821,0.833212075,0.877595566,320,466.2,0.904943,0.757692308,strong,strong&stable
0000[Co][nan]2[ASR]4,Clc1ccc(cc1NC1=NC(=[N]=C([N]1)Nc1cc(ccc1Cl)C(=O)[O-])Nc1cc(ccc1Cl)C(=O)[O-])C(=O)[O-].[Co][O]([Co])[Co] MOFid-v1.ERROR.cat1;VUCHIN_ASR_pacman,unknown,6.67327,5.00301,5.71859,1.02819,729.418,1652.8,1607.49,0.0480765,0.108937,0.105951,2700.01,0.6118,0.595029,0.0,0.0,2,mismatch,mismatch,2,3,P -6c -2c,190,Co,Yes,Co,12.88956929,0.824055006,0.924197889,0.979817029,212,354.6,0.8785689,0.72,strong,strong&stable
0000[Cu][nbo]3[ASR]1,[Cu].[O-]C(=O)C1=NN=C([N]1)N MOFid-v1.nbo-a.cat0;JOFKIA01_ASR_pacman,[Cu1_Type-1].[O-1][C][=Branch1][C][=O][C][=N][N][=C][Branch1][Ring2][NH0][Ring1][Branch1][N] MOFid-v2.nbo-a.cat0;JOFKIA01_ASR_pacman,6.88447,5.08381,6.88447,1.58969,139.148,1170.86,736.531,0.0,0.0,0.0,621.549,0.523,0.328995,0.0,0.0,3,nbo-a,nbo-a,1,2,-R 3,148,Cu,Yes,Cu,15.80163167,0.725837174,0.815038359,0.861449951,72,274.7,0.73982,0.758571429,strong_high_loading,strong&stable
0000[CuSi][pcu]3[ASR]1,[Cu].n1ccc(cc1)c1ccncc1 MOFid-v1.sql.cat1;EMEJAJ_ASR_pacman,unknown,8.33992,7.3296,8.33992,0.875377,340.589,1733.09,1979.82,0.0,0.0,0.0,1273.46,0.648,0.740252,0.0,0.0,3,pcu,pcu,1,3,-P 4 2c,124,"Cu,Si",No,,10.79145332,0.905987941,1.035537941,1.149338201,96,280,0.4849925,0.531052632,strong,strong&stable
0000[CuTb][stp]3[ASR]1,[Cu].[O-]C(=O)CNCC(=O)[O-].[Tb] MOFid-v1.unknown.cat0;PAPROO_ASR_pacman,[Cu1_Type-1].[Tb1_Type-1].[O-1][C][=Branch1][C][=O][C][N][C][C][=Branch1][C][=O][O-1] MOFid-v2.UNKNOWN.cat0;PAPROO_ASR_pacman,7.19025,5.05276,7.19025,1.91608,193.979,864.204,451.028,0.0,0.0,0.0,989.419,0.4408,0.230053,0.0,0.0,3,stp,stp,1,3,"-P 3 2""c",165,"Cu,Tb",No,,14.55066854,0.722059688,0.756425551,0.810561642,178,206.5,0.2855489,0.52,strong,strong&stable
0000[In][sql]2[ASR]1,unknown,[C4In1O8_Type-1].[O-1][C][=Branch1][C][=O][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][C][=Branch1][C][=O][O-1].[O-1][C][=Branch1][C][=O][C][=C][C][=C][C][=Branch1][Ring2][=C][Ring1][=Branch1][C][=C][C][=Branch1][=Branch2][=C][C][=C][Ring1][=Branch1][NH1][Ring1][#Branch2][C][=Branch1][C][=O][O-1] MOFid-v2.sql.cat1;AJUCOA_ASR_pacman,12.0793,6.26657,12.07484,0.737204,2490.48,2272.23,3082.23,0.0,0.0,0.0,7834.56,0.7148,0.96961,0.0,0.0,2,sql,sql,2,3,I 4bw 2bw -1bw,141,In,No,,11.4762,0.817252031,0.915943697,0.963602398,424,325.2,0.796816,0.799411765,strong,strong&stable
0000[Lu][lcy]3[ASR]1,unknown,[C6H4Lu4O16_Type-1].[O-1][C][=Branch1][C][=O][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][C][=C][N][=C][C][=Branch1][Ring2][=C][Ring1][=Branch1][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][C][=Branch1][C][=O][O-1] MOFid-v2.lcy.cat1;c5dt03091a2_3_ASR_pacman,12.44548,7.05215,12.44315,0.89958,5088.19,2003.49,2227.14,0.0,0.0,0.0,18458.3,0.7268,0.807932,0.0,0.0,3,lcy,lcy,2,3,-P 2ac 2ab 3,205,Lu,No,,14.69898615,0.614658814,0.689120532,0.72561464,936,406.6,0.28268898,0.66,strong,strong&stable
0000[Mn][nan]3[ASR]1,[Mn].[Mn][Mn].[O-]C(=O)c1cc(cc(c1)C(=O)[O-])C(=O)[O-] MOFid-v1.unknown.cat0;CIBTIT_ASR_pacman,[C4Mn2O8_Type-2].[Mn1_Type-1].[O-1][C][=Branch1][C][=O][C][=C][C][=Branch1][=N][=C][C][=Branch1][Ring2][=C][Ring1][=Branch1][C][=Branch1][C][=O][O-1][C][=Branch1][C][=O][O-1] MOFid-v2.UNKNOWN.cat0;CIBTIT_ASR_pacman,6.58028,5.92059,6.24494,1.027,820.729,2191.53,2133.91,0.0,0.0,0.0,2371.33,0.6332,0.616551,0.0,0.0,3,unknown,unknown,1,3,-P 1,2,Mn,Yes,Mn,14.84736346,0.790914113,0.863759921,0.926208996,156,445.1,0.77902126,0.60625,strong,strong&stable
