sample_id,x,y
sample_000000,-47.80522,-38.945515
sample_000001,-22.111288,75.03421
sample_000002,15.097185,-35.970272
sample_000003,-43.81921,-27.890928
sample_000004,-0.3552423,-32.001064
sample_000005,33.747295,-32.93938
sample_000006,-16.151993,30.945133
sample_000007,8.71497,-32.701073
sample_000008,-41.736187,-25.240582
sample_000009,-50.29703,49.859146
sample_000010,-49.09099,44.617805
sample_000011,5.0096984,-25.09705
sample_000012,34.40326,62.472755
sample_000013,1.6671524,-23.502682
sample_000014,17.0564,31.102278
sample_000015,-46.565376,-33.265812
sample_000016,9.601475,39.101177
sample_000017,-59.839596,1.5663208
sample_000018,-60.300507,-2.6217103
sample_000019,-59.102707,4.2612724
sample_000020,55.987072,-13.145702
sample_000021,3.9135237,-33.13542
sample_000022,-46.375633,0.07038661
sample_000023,-10.888846,-55.23889
sample_000024,51.34232,8.801861
sample_000025,-16.014767,18.91955
sample_000026,-17.265314,24.9616
sample_000027,41.432896,69.432045
sample_000028,9.371546,25.030071
sample_000029,-18.699383,-39.507935
sample_000030,38.04473,63.11558
sample_000031,31.75335,-19.174294
sample_000032,-49.642265,41.187458
sample_000033,-60.539684,41.50818
sample_000034,-53.177673,36.982433
sample_000035,-58.303722,47.412903
sample_000036,-6.9883,-51.228355
sample_000037,-46.40306,-25.562555
sample_000038,27.302006,60.866615
sample_000039,-24.713203,-62.142822
sample_000040,-18.36079,-78.78489
sample_000041,-26.758917,-63.215996
sample_000042,-46.367676,-25.306717
sample_000043,-30.620512,-58.299583
sample_000044,30.97772,-2.9860284
sample_000045,-43.395096,-1.5272398
sample_000046,-11.328022,24.36411
sample_000047,0.6525155,29.1432
sample_000048,-4.2130575,25.834845
sample_000049,7.566452,-6.1649218
sample_000050,-14.559091,54.47683
sample_000051,-15.111211,-13.500652
sample_000052,-16.237532,-12.328497
sample_000053,-4.438316,26.885754
sample_000054,-16.10254,23.732035
sample_000055,-11.54751,84.882286
sample_000056,-18.63901,73.9232
sample_000057,-13.419955,56.765255
sample_000058,-0.94946814,59.930504
sample_000059,-6.299066,-0.0048026736
sample_000060,36.292786,65.0933
sample_000061,2.9069297,6.924792
sample_000062,35.743507,64.24285
sample_000063,13.4105425,-9.082767
sample_000064,60.87416,-35.486267
sample_000065,73.32267,12.82722
sample_000066,-5.509408,-22.005072
sample_000067,-34.684643,29.868122
sample_000068,-7.553123,-61.125748
sample_000069,-54.452007,11.59291
sample_000070,-16.50681,-26.49691
sample_000071,31.028399,68.61719
sample_000072,3.144433,4.631471
sample_000073,3.076858,4.727327
sample_000074,3.2133288,4.4890275
sample_000075,3.1191833,4.592852
sample_000076,3.1187143,4.634639
sample_000077,3.2010183,4.5276814
sample_000078,-45.245087,19.2898
sample_000079,-15.872295,-13.314348
sample_000080,-37.034008,-9.3001995
sample_000081,-35.317444,29.212898
sample_000082,29.42658,16.953672
sample_000083,20.506243,34.719357
sample_000084,20.801844,35.119392
sample_000085,-20.200186,81.59718
sample_000086,-21.863113,84.00703
sample_000087,-12.0762825,85.35704
sample_000088,29.89686,4.3023815
sample_000089,3.9780066,-45.814407
sample_000090,-46.69182,-3.6951976
sample_000091,56.72442,34.158195
sample_000092,9.920481,-52.518528
sample_000093,-46.5444,-44.929974
sample_000094,-2.3925052,-48.452084
sample_000095,23.314749,-11.424673
sample_000096,-30.023125,-41.816856
sample_000097,17.911161,-86.50305
sample_000098,-29.047388,-31.294899
sample_000099,20.979229,-29.897394
sample_000100,31.946737,-11.345976
sample_000101,-32.72455,-65.837135
sample_000102,33.163067,66.1828
sample_000103,-31.802883,12.928417
sample_000104,24.851572,55.660263
sample_000105,4.1700463,28.228853
sample_000106,-54.590885,54.87967
sample_000107,-10.700237,-6.765102
sample_000108,-12.006336,-36.014694
sample_000109,30.403133,-19.436373
sample_000110,-35.314667,-58.720848
sample_000111,-7.3677297,-52.19781
sample_000112,29.75932,57.108364
sample_000113,-36.26116,-12.181525
sample_000114,27.446545,-16.295126
sample_000115,-18.021452,-49.816746
sample_000116,11.416195,11.73848
sample_000117,45.898506,29.0158
sample_000118,69.909485,0.38505778
sample_000119,35.107533,-56.754887
sample_000120,34.33708,51.02582
sample_000121,-14.962183,-19.131134
sample_000122,40.17119,46.99169
sample_000123,-10.237461,-57.432735
sample_000124,-58.92915,-24.735708
sample_000125,-61.839375,-9.400068
sample_000126,50.361923,46.45731
sample_000127,56.196716,-7.6639934
sample_000128,-4.509993,-33.809002
sample_000129,21.640804,61.103146
sample_000130,-10.029021,-56.99975
sample_000131,-7.2360926,59.749607
sample_000132,-52.922634,-27.898148
sample_000133,4.688461,-20.155788
sample_000134,-15.598337,-70.19656
sample_000135,-8.045456,64.43553
sample_000136,-61.775925,-9.145619
sample_000137,38.193745,27.959482
sample_000138,38.216846,27.957876
sample_000139,-59.505722,23.055698
sample_000140,36.775204,10.218855
sample_000141,-26.300274,23.972036
sample_000142,-44.72056,-6.8850718
sample_000143,5.443646,26.715372
sample_000144,-39.66577,-22.600113
sample_000145,39.88549,-33.89766
sample_000146,-10.064774,-57.15991
sample_000147,39.086864,22.78631
sample_000148,26.593515,69.90594
sample_000149,-50.278465,-42.481705
sample_000150,-51.38524,-32.67353
sample_000151,-7.9556704,58.026363
sample_000152,-25.117674,-30.60048
sample_000153,39.04968,22.718027
sample_000154,-10.73238,-68.62475
sample_000155,45.104385,42.97419
sample_000156,49.452545,0.010501465
sample_000157,44.31778,47.519836
sample_000158,30.49501,-14.164392
sample_000159,-32.032215,8.078916
sample_000160,20.666145,32.680134
sample_000161,24.80145,40.573772
sample_000162,-12.613079,-46.58021
sample_000163,-62.81945,-21.059996
sample_000164,-31.346224,-58.300903
sample_000165,35.23469,33.278126
sample_000166,-51.717205,13.040361
sample_000167,31.816225,35.26386
sample_000168,-27.45946,-24.261793
sample_000169,-27.460278,-24.256006
sample_000170,-1.9931614,84.78733
sample_000171,42.361565,57.820366
sample_000172,-14.448628,-11.811943
sample_000173,-16.279577,-6.7775836
sample_000174,43.01671,48.36765
sample_000175,-20.165806,70.7362
sample_000176,41.296097,-19.144367
sample_000177,7.439693,-15.627978
sample_000178,25.818155,-6.5051985
sample_000179,5.7936134,40.490597
sample_000180,15.892942,-32.415154
sample_000181,-12.255377,-7.7289996
sample_000182,9.727566,-33.889126
sample_000183,19.029444,-43.739388
sample_000184,20.965517,-45.212994
sample_000185,-48.537384,-40.649338
sample_000186,-6.0536885,-27.342854
sample_000187,27.171137,64.67853
sample_000188,-58.159035,-24.943197
sample_000189,-60.6197,0.8055959
sample_000190,20.481728,-7.66153
sample_000191,-61.04089,23.815992
sample_000192,-19.703197,-52.059055
sample_000193,-4.9751825,49.10058
sample_000194,-53.27202,5.4946637
sample_000195,15.684569,-32.482906
sample_000196,-17.24099,25.049593
sample_000197,-3.222428,-31.55555
sample_000198,-36.84365,-42.511803
sample_000199,27.022268,70.81847
sample_000200,1.0976039,-27.881674
sample_000201,-64.728966,-21.19717
sample_000202,-7.0798254,22.566374
sample_000203,-52.254234,-8.593443
sample_000204,-10.153425,-57.273415
sample_000205,-19.862078,60.733208
sample_000206,-6.7264414,73.157555
sample_000207,23.793003,63.59521
sample_000208,21.436403,-44.139446
sample_000209,40.5716,-44.52546
sample_000210,-12.047567,-74.07807
sample_000211,28.16741,-49.171936
sample_000212,24.83441,60.17443
sample_000213,31.507515,-53.628193
sample_000214,-16.780882,-70.17668
sample_000215,70.64995,-7.3125167
sample_000216,-43.61287,-42.10998
sample_000217,-70.07697,13.39603
sample_000218,48.876236,10.881043
sample_000219,41.515415,67.13397
sample_000220,20.526087,-7.6665473
