x,y,sample_id,category
10.0253,81.21081,sample_000000,strong&stable
9.387149,-14.0911455,sample_000001,strong&stable
7.619493,-13.657216,sample_000002,strong&stable
-37.509266,87.0963,sample_000003,strong&stable
28.871084,-81.62592,sample_000004,strong&stable
-5.126829,30.54332,sample_000005,strong&stable
-66.43079,-46.960724,sample_000006,strong&stable
-31.776167,71.29885,sample_000007,strong&stable
65.21396,0.46925864,sample_000008,strong&stable
4.3081803,-7.9307427,sample_000009,strong&stable
-46.4088,0.57067126,sample_000010,strong&stable
-22.229183,31.021442,sample_000011,strong&stable
-61.833782,-3.9352903,sample_000012,strong&stable
-4.497136,-21.715057,sample_000013,strong&stable
-60.643044,-3.0082693,sample_000014,strong&stable
32.316715,-68.70964,sample_000015,strong&stable
57.878143,-24.167868,sample_000016,strong&stable
47.749672,-66.44928,sample_000017,strong&stable
36.966465,-69.91458,sample_000018,strong&stable
11.397184,-9.996227,sample_000019,strong&stable
-27.173662,6.744685,sample_000020,strong&stable
48.976128,-79.52472,sample_000021,strong&stable
49.011475,-79.56573,sample_000022,strong&stable
-55.000515,6.8364124,sample_000023,strong&stable
-65.84118,-46.586853,sample_000024,strong&stable
-65.94915,-46.60898,sample_000025,strong&stable
-66.47226,-45.350605,sample_000026,strong&stable
83.08324,15.449144,sample_000027,strong&stable
-37.134293,-4.545845,sample_000028,strong&stable
-37.14898,-4.5292215,sample_000029,strong&stable
-38.956516,-19.136648,sample_000030,strong&stable
-66.299576,-46.049133,sample_000031,strong&stable
-11.312379,-10.782711,sample_000032,strong&stable
-42.19135,-56.643955,sample_000033,strong&stable
53.451458,-62.501835,sample_000034,strong&stable
6.28393,14.042187,sample_000035,strong&stable
-57.32592,1.9527688,sample_000036,strong&stable
-60.990044,2.0982149,sample_000037,strong&stable
-34.23007,-61.59113,sample_000038,strong&stable
26.384197,-78.76187,sample_000039,strong&stable
-45.762775,29.25795,sample_000040,strong&stable
-49.3644,-29.528753,sample_000041,strong&stable
-65.58038,-46.958923,sample_000042,strong&stable
-66.451904,-45.339325,sample_000043,strong&stable
-66.203026,-45.035973,sample_000044,strong&stable
11.433201,-10.064999,sample_000045,strong&stable
38.066715,-29.204708,sample_000046,strong&stable
-50.250465,-18.039259,sample_000047,strong&stable
-54.875793,-10.577241,sample_000048,strong&stable
58.649456,-55.286247,sample_000049,strong&stable
63.151268,-11.67891,sample_000050,strong&stable
-20.074814,-30.48846,sample_000051,strong&stable
-28.896358,31.043848,sample_000052,strong&stable
-20.083418,-31.212763,sample_000053,strong&stable
-20.032724,-31.47003,sample_000054,strong&stable
-5.9142914,-35.17372,sample_000055,strong&stable
-1.6229591,-28.158026,sample_000056,strong&stable
-1.6574008,-28.135206,sample_000057,strong&stable
-1.6171924,-28.13595,sample_000058,strong&stable
7.5426846,-53.651463,sample_000059,strong&stable
-20.15893,-30.066418,sample_000060,strong&stable
-47.043232,-56.88022,sample_000061,strong&stable
-49.813515,-51.617214,sample_000062,strong&stable
-20.117527,-30.864405,sample_000063,strong&stable
-16.82277,7.7690496,sample_000064,strong&stable
-19.96015,-31.214746,sample_000065,strong&stable
-3.540984,3.562242,sample_000066,strong&stable
-5.698194,-23.6897,sample_000067,strong&stable
-13.491093,26.682922,sample_000068,strong&stable
58.12319,-65.19602,sample_000069,strong&stable
-66.599556,-47.291176,sample_000070,strong&stable
-65.76968,-47.483665,sample_000071,strong&stable
-6.028325,-35.073257,sample_000072,strong&stable
-37.029846,-31.778978,sample_000073,strong&stable
4.8601027,28.622013,sample_000074,strong&stable
5.6442537,28.159609,sample_000075,strong&stable
1.2791297,3.6212127,sample_000076,strong&stable
17.582972,-0.2846858,sample_000077,strong&stable
27.324432,-86.032234,sample_000078,strong&stable
82.47669,9.530706,sample_000079,strong&stable
7.356056,30.493498,sample_000080,strong&stable
25.46824,11.787591,sample_000081,strong&stable
25.475359,11.788237,sample_000082,strong&stable
