sample_id,x,y,category
sample_000000,14.912869,-11.052832,unknown
sample_000001,-55.48168,32.14011,unknown
sample_000002,-31.683508,45.331318,unknown
sample_000003,32.064278,39.866493,unknown
sample_000004,71.38224,22.761219,unknown
sample_000005,16.996237,60.154255,unknown
sample_000006,26.270927,-46.885212,unknown
sample_000007,35.05856,17.617039,unknown
sample_000008,-2.3152769,-14.144279,unknown
sample_000009,26.727795,11.880312,unknown
sample_000010,26.705845,11.8990345,unknown
sample_000011,-58.833473,-28.374022,unknown
sample_000012,-53.127106,-18.239147,unknown
sample_000013,-30.275642,-25.424612,unknown
sample_000014,-3.399996,-35.573257,unknown
sample_000015,-27.523645,-23.827461,unknown
sample_000016,29.373861,35.011772,unknown
sample_000017,20.234463,40.162296,unknown
sample_000018,36.9405,-70.428665,unknown
sample_000019,-20.052198,25.518927,unknown
sample_000020,-20.009647,25.99334,unknown
sample_000021,16.082945,60.964394,unknown
sample_000022,47.713593,-22.327913,unknown
sample_000023,-54.783092,12.063888,unknown
sample_000024,27.450958,11.419205,unknown
sample_000025,-20.911842,-19.154947,unknown
sample_000026,31.271729,39.669155,unknown
sample_000027,-53.273087,9.934541,unknown
sample_000028,-53.26421,9.932506,unknown
sample_000029,-46.184387,5.226186,unknown
sample_000030,-32.31552,29.917105,unknown
sample_000031,-53.995445,32.781826,unknown
sample_000032,-29.480759,45.383953,unknown
sample_000033,-29.256363,45.742256,unknown
sample_000034,-5.1547437,9.693143,unknown
sample_000035,-66.984695,-24.303997,unknown
sample_000036,33.653675,-1.0947567,unknown
sample_000037,15.0278,13.7002945,unknown
sample_000038,34.836742,3.6975195,unknown
sample_000039,23.845581,9.569257,unknown
sample_000040,28.002287,13.13926,unknown
sample_000041,-25.828142,-1.231223,unknown
sample_000042,-25.960436,-7.6444654,unknown
sample_000043,-5.9935765,-53.128628,unknown
sample_000044,33.179928,-4.4962487,unknown
sample_000045,-47.297043,28.5308,unknown
sample_000046,-10.069983,-30.393484,unknown
sample_000047,-10.078853,-30.397755,unknown
sample_000048,-9.990849,-30.128822,unknown
sample_000049,-62.2963,-29.827135,unknown
sample_000050,43.12905,54.608925,unknown
sample_000051,43.12948,54.604507,unknown
sample_000052,43.130547,54.5983,unknown
sample_000053,43.130234,54.59726,unknown
sample_000054,40.652958,55.855167,unknown
sample_000055,40.6328,55.895573,unknown
sample_000056,40.562263,55.428223,unknown
sample_000057,40.67573,55.829174,unknown
sample_000058,-37.67914,-19.406143,unknown
sample_000059,28.232498,-45.986027,unknown
sample_000060,-48.622772,17.314201,unknown
sample_000061,-13.182403,69.15491,unknown
sample_000062,-15.488907,63.519646,unknown
sample_000063,-53.871098,-26.985031,unknown
sample_000064,-48.005417,23.700745,unknown
sample_000065,-50.132904,13.956711,unknown
sample_000066,-59.24219,-18.436857,unknown
sample_000067,-62.300858,-24.23524,unknown
sample_000068,-51.988033,-40.52774,unknown
sample_000069,-0.48588997,-9.9230995,unknown
sample_000070,-52.225437,3.2626119,unknown
sample_000071,-62.77577,-9.119186,unknown
sample_000072,-53.986237,-27.53674,unknown
sample_000073,-39.416447,25.123524,unknown
sample_000074,-39.419975,24.876896,unknown
sample_000075,-38.40468,26.030466,unknown
sample_000076,-42.899067,20.088966,unknown
sample_000077,20.616877,18.98953,unknown
sample_000078,-28.803951,39.098732,unknown
sample_000079,-36.034042,40.556145,unknown
sample_000080,-54.34189,22.84331,unknown
sample_000081,-35.040527,46.35698,unknown
sample_000082,-52.896645,8.620066,unknown
sample_000083,52.325565,0.9921396,unknown
sample_000084,52.161224,0.70721155,unknown
sample_000085,-27.564026,-26.316866,unknown
sample_000086,3.4019516,-2.1856096,unknown
sample_000087,3.4015663,-2.1866283,unknown
sample_000088,-33.18597,-53.69239,unknown
sample_000089,-9.113683,-45.899467,unknown
sample_000090,46.224926,14.601219,unknown
sample_000091,-45.467907,60.06678,unknown
sample_000092,-53.010056,34.38437,unknown
sample_000093,-55.632088,-3.5651894,unknown
sample_000094,-30.794405,-9.36399,unknown
sample_000095,-33.270947,-53.684258,unknown
sample_000096,34.39185,62.85607,unknown
sample_000097,-13.178555,69.16212,unknown
sample_000098,-52.91813,18.80154,unknown
sample_000099,-53.917713,-26.984318,unknown
sample_000100,14.133446,55.24837,unknown
sample_000101,35.201607,70.63002,unknown
sample_000102,-30.960144,-28.116423,unknown
sample_000103,26.101595,-58.564476,unknown
sample_000104,-35.240005,4.1456027,unknown
sample_000105,-30.550713,-25.638174,unknown
sample_000106,-30.688812,-25.86075,unknown
sample_000107,-49.011005,-24.10327,unknown
sample_000108,-28.730698,-9.02429,unknown
sample_000109,-54.622547,-33.07165,unknown
sample_000110,-30.64325,-25.79933,unknown
sample_000111,-9.16367,67.69571,unknown
sample_000112,-30.19447,37.939896,unknown
sample_000113,-41.63365,8.604473,unknown
sample_000114,-30.736534,-25.998167,unknown
sample_000115,-46.362396,-16.54678,unknown
sample_000116,-50.36378,27.886997,unknown
sample_000117,-28.424238,-20.905355,unknown
sample_000118,-28.986328,-18.28508,unknown
sample_000119,7.9981055,30.929398,unknown
sample_000120,-57.030975,-0.59419954,unknown
sample_000121,-22.599968,43.84083,unknown
sample_000122,-22.747728,44.009827,unknown
sample_000123,18.355768,-31.029205,unknown
sample_000124,-55.028236,18.565876,unknown
sample_000125,-31.436998,-39.174397,unknown
