sample_id,x,y,category
sample_000000,36.1057,62.599514,strong&stable
sample_000001,-11.311703,-17.563385,strong&stable
sample_000002,-11.120917,-16.143131,strong&stable
sample_000003,10.653716,56.480995,strong&stable
sample_000004,27.46765,-67.95051,strong&stable
sample_000005,-14.20278,19.482159,strong&stable
sample_000006,-73.52217,-8.979921,strong&stable
sample_000007,37.42622,36.7285,strong&stable
sample_000008,34.55258,17.749397,strong&stable
sample_000009,-19.33623,-10.024104,strong&stable
sample_000010,-38.81851,20.752583,strong&stable
sample_000011,-10.673071,21.02533,strong&stable
sample_000012,-50.998283,26.14249,strong&stable
sample_000013,-20.337646,-21.257462,strong&stable
sample_000014,-49.19958,25.700693,strong&stable
sample_000015,56.316757,-45.742836,strong&stable
sample_000016,71.16927,20.430754,strong&stable
sample_000017,46.546913,-40.984768,strong&stable
sample_000018,42.382816,-57.363483,strong&stable
sample_000019,-10.705291,-11.011008,strong&stable
sample_000020,-29.149868,6.6420503,strong&stable
sample_000021,31.606157,-48.684185,strong&stable
sample_000022,31.545158,-48.678986,strong&stable
sample_000023,-39.484627,31.291546,strong&stable
sample_000024,-74.369736,-8.092317,strong&stable
sample_000025,-74.05196,-8.400499,strong&stable
sample_000026,-74.075356,-7.644486,strong&stable
sample_000027,37.515594,-34.427765,strong&stable
sample_000028,-9.600759,64.91826,strong&stable
sample_000029,-9.636729,64.9428,strong&stable
sample_000030,-52.320732,-4.0449896,strong&stable
sample_000031,-73.6732,-8.317625,strong&stable
sample_000032,8.995987,28.492636,strong&stable
sample_000033,-56.988834,-32.19947,strong&stable
sample_000034,28.98339,-40.921356,strong&stable
sample_000035,-2.905493,2.0975778,strong&stable
sample_000036,-41.42948,27.241028,strong&stable
sample_000037,-45.858776,29.548426,strong&stable
sample_000038,-52.61525,-34.21933,strong&stable
sample_000039,-10.030445,69.76604,strong&stable
sample_000040,3.9189343,31.227589,strong&stable
sample_000041,-59.115208,-10.779838,strong&stable
sample_000042,-74.51055,-8.180471,strong&stable
sample_000043,-73.8091,-7.856485,strong&stable
sample_000044,-73.356705,-8.059393,strong&stable
sample_000045,-10.65264,-11.003593,strong&stable
sample_000046,12.2504015,-28.66239,strong&stable
sample_000047,-51.897995,11.753736,strong&stable
sample_000048,-51.691116,17.565828,strong&stable
sample_000049,51.93674,-3.5265453,strong&stable
sample_000050,51.958782,-1.6126058,strong&stable
sample_000051,-34.164482,-13.779107,strong&stable
sample_000052,-21.503202,26.143717,strong&stable
sample_000053,-34.343056,-14.234304,strong&stable
sample_000054,-34.400944,-14.426482,strong&stable
sample_000055,-27.220377,-24.962187,strong&stable
sample_000056,-22.566198,-33.723206,strong&stable
sample_000057,-22.506628,-33.716064,strong&stable
sample_000058,-22.542809,-33.72252,strong&stable
sample_000059,-2.9022193,-44.516785,strong&stable
sample_000060,-34.000164,-13.48123,strong&stable
sample_000061,-60.99221,-31.013857,strong&stable
sample_000062,-61.11398,-26.443373,strong&stable
sample_000063,-34.27766,-14.008142,strong&stable
sample_000064,-25.850315,17.072823,strong&stable
sample_000065,-34.33182,-14.262673,strong&stable
sample_000066,-19.892096,-2.7211413,strong&stable
sample_000067,-22.200756,-21.477045,strong&stable
sample_000068,-9.496247,35.3761,strong&stable
sample_000069,35.90475,-37.503735,strong&stable
sample_000070,-73.8999,-8.939472,strong&stable
sample_000071,-74.510345,-8.721344,strong&stable
sample_000072,-27.17266,-24.838764,strong&stable
sample_000073,-44.781307,-7.6628623,strong&stable
sample_000074,-6.595194,13.242705,strong&stable
sample_000075,-6.0960155,13.083521,strong&stable
sample_000076,-15.34134,-0.94257975,strong&stable
sample_000077,-4.3870287,-5.464967,strong&stable
sample_000078,24.694624,-62.823437,strong&stable
sample_000079,42.924213,9.147352,strong&stable
sample_000080,-5.419412,14.159455,strong&stable
sample_000081,16.672943,21.803217,strong&stable
sample_000082,16.672636,21.807291,strong&stable
sample_000083,-16.257935,-0.047744196,strong&stable
sample_000084,10.266571,-13.064594,strong&stable
sample_000085,-32.541065,-33.18679,strong&stable
sample_000086,9.298782,-12.611504,strong&stable
sample_000087,32.173786,-43.42649,strong&stable
sample_000088,-3.158895,1.7044358,strong&stable
sample_000089,-52.871925,-33.147774,strong&stable
sample_000090,-49.006104,37.68486,strong&stable
sample_000091,-11.136326,-28.563623,strong&stable
sample_000092,-8.728926,-18.695091,strong&stable
sample_000093,-10.15002,-14.132075,strong&stable
sample_000094,-38.963924,-9.162668,strong&stable
sample_000095,-19.651525,-1.3941569,strong&stable
sample_000096,-41.89848,17.445217,strong&stable
sample_000097,-73.79866,-7.274935,strong&stable
sample_000098,41.576485,-52.408672,strong&stable
sample_000099,-14.238992,17.366333,strong&stable
sample_000100,-11.702738,1.7301817,strong&stable
sample_000101,-25.938972,16.620066,strong&stable
sample_000102,-45.813324,36.57162,strong&stable
sample_000103,-45.84639,36.532776,strong&stable
sample_000104,-45.86013,36.556805,strong&stable
sample_000105,-14.40095,34.28042,strong&stable
sample_000106,-17.978884,6.98319,strong&stable
sample_000107,-27.158909,10.545161,strong&stable
sample_000108,39.469612,-46.38465,strong&stable
sample_000109,3.2473652,2.339769,strong&stable
sample_000110,-74.40497,-9.221274,strong&stable
sample_000111,-73.43775,-8.901943,strong&stable
sample_000112,-72.92835,-8.278996,strong&stable
sample_000113,-73.11851,-8.546713,strong&stable
sample_000114,-61.844532,-31.74772,strong&stable
sample_000115,-53.07728,-34.251667,strong&stable
sample_000116,-52.92446,-33.791702,strong&stable
sample_000117,20.630646,-63.28867,strong&stable
sample_000118,20.694115,-63.14985,strong&stable
sample_000119,-74.6318,-8.836959,strong&stable
sample_000120,-73.98317,-9.191547,strong&stable
sample_000121,-24.986446,-4.9845567,strong&stable
sample_000122,-27.863129,11.417226,strong&stable
sample_000123,24.9304,20.021,strong&stable
sample_000124,-28.292084,5.6278224,strong&stable
sample_000125,-12.192379,-29.298084,strong&stable
sample_000126,-11.81752,-29.629255,strong&stable
sample_000127,-19.761566,19.16742,strong&stable
sample_000128,25.646275,20.374819,strong&stable
sample_000129,20.490088,10.159529,strong&stable
sample_000130,-8.2451935,34.617424,strong&stable
sample_000131,-8.220952,34.57991,strong&stable
sample_000132,-46.150642,-3.9722235,strong&stable
sample_000133,-6.9295607,-0.17898443,strong&stable
sample_000134,-1.9398998,-13.561943,strong&stable
sample_000135,12.391345,20.746977,strong&stable
sample_000136,-54.808083,36.644375,strong&stable
sample_000137,-17.544744,25.031807,strong&stable
sample_000138,-17.541918,25.02723,strong&stable
sample_000139,-20.549858,24.22963,strong&stable
sample_000140,-20.570595,24.217773,strong&stable
sample_000141,-35.6591,22.756025,strong&stable
sample_000142,22.67592,64.72804,strong&stable
sample_000143,9.664643,-3.400204,strong&stable
sample_000144,-19.257225,-15.238502,strong&stable
sample_000145,17.448378,-5.722419,strong&stable
sample_000146,-23.454287,12.138874,strong&stable
sample_000147,40.739136,-51.029736,strong&stable
sample_000148,27.70645,42.159206,strong&stable
sample_000149,6.1477,10.450097,strong&stable
sample_000150,4.06528,-24.00184,strong&stable
sample_000151,-16.470984,32.78884,strong&stable
sample_000152,48.560093,15.046174,strong&stable
sample_000153,-8.612535,71.53595,strong&stable
sample_000154,-4.808725,8.615673,strong&stable
sample_000155,-4.815248,8.643475,strong&stable
sample_000156,-4.8104095,8.642803,strong&stable
sample_000157,-14.204265,17.309675,strong&stable
sample_000158,-5.174425,8.913765,strong&stable
sample_000159,-5.091456,8.965468,strong&stable
sample_000160,-50.02497,-32.421448,strong&stable
sample_000161,-63.11593,-38.13266,strong&stable
sample_000162,-29.401724,27.159494,strong&stable
sample_000163,-3.4771736,-49.597343,strong&stable
sample_000164,-5.4002013,14.055289,strong&stable
sample_000165,8.985862,17.360374,strong&stable
sample_000166,-34.189804,-13.782519,strong&stable
sample_000167,-41.16889,31.409864,strong&stable
sample_000168,5.2094727,15.203298,strong&stable
sample_000169,-15.061134,33.715096,strong&stable
sample_000170,-62.64344,-8.496151,strong&stable
sample_000171,-9.430909,-12.573392,strong&stable
sample_000172,20.15983,44.722984,strong&stable
sample_000173,13.486913,49.015156,strong&stable
sample_000174,-65.67889,0.5007117,strong&stable
sample_000175,-40.474583,14.0025425,strong&stable
sample_000176,-54.31048,16.082584,strong&stable
sample_000177,-19.788128,-2.4540653,strong&stable
sample_000178,-19.842613,-2.4690368,strong&stable
sample_000179,-53.456234,-5.1770906,strong&stable
sample_000180,-51.61061,39.861797,strong&stable
sample_000181,-14.386063,61.552822,strong&stable
sample_000182,7.5020084,-11.920324,strong&stable
sample_000183,35.466812,-39.235863,strong&stable
sample_000184,11.979342,20.928732,strong&stable
sample_000185,-39.17958,-5.6376715,strong&stable
sample_000186,-51.3297,0.6288362,strong&stable
sample_000187,-39.925983,-4.76813,strong&stable
sample_000188,-14.53934,61.413624,strong&stable
sample_000189,22.232084,57.253418,strong&stable
sample_000190,38.52281,30.254492,strong&stable
sample_000191,-48.659008,40.591515,strong&stable
sample_000192,40.47034,-45.561497,strong&stable
sample_000193,20.805984,63.438435,strong&stable
sample_000194,20.814028,63.440174,strong&stable
sample_000195,20.296604,63.39376,strong&stable
sample_000196,26.300934,20.6466,strong&stable
sample_000197,20.473064,-10.441525,strong&stable
sample_000198,-14.212254,61.696632,strong&stable
sample_000199,40.88588,5.6424227,strong&stable
sample_000200,-2.7249043,-5.933801,strong&stable
sample_000201,5.979444,-10.604115,strong&stable
sample_000202,1.7837318,11.837361,strong&stable
sample_000203,51.261185,-20.264114,strong&stable
sample_000204,-0.1429543,-14.9977455,strong&stable
sample_000205,-52.0907,33.136425,strong&stable
sample_000206,-50.898014,31.798223,strong&stable
sample_000207,-50.90597,31.80802,strong&stable
sample_000208,-48.588055,27.162615,strong&stable
sample_000209,5.954732,12.80515,strong&stable
sample_000210,20.369785,62.744305,strong&stable
sample_000211,-8.099169,33.061134,strong&stable
sample_000212,-8.173674,33.241375,strong&stable
sample_000213,-8.253921,33.30051,strong&stable
sample_000214,-53.065968,43.055286,strong&stable
sample_000215,-48.621334,22.697454,strong&stable
sample_000216,27.504408,-67.95928,strong&stable
sample_000217,-63.73471,0.88822716,strong&stable
sample_000218,-14.759429,61.236694,strong&stable
sample_000219,-14.764114,61.23611,strong&stable
sample_000220,25.144472,-64.01612,strong&stable
sample_000221,25.616865,-63.99718,strong&stable
sample_000222,29.726557,19.888977,strong&stable
sample_000223,-44.091515,15.269229,strong&stable
sample_000224,-51.227726,0.6896028,strong&stable
sample_000225,-16.642876,-0.16428526,strong&stable
sample_000226,-41.797195,19.657896,strong&stable
sample_000227,-57.23272,-19.469753,strong&stable
sample_000228,25.240095,-63.900833,strong&stable
sample_000229,7.806787,15.220083,strong&stable
sample_000230,20.178747,43.361523,strong&stable
sample_000231,20.189625,43.396847,strong&stable
sample_000232,-64.60754,-0.11005014,strong&stable
sample_000233,-65.04905,0.14881861,strong&stable
sample_000234,8.828834,2.8435032,strong&stable
sample_000235,-33.311607,20.15894,strong&stable
sample_000236,41.425632,-39.117393,strong&stable
sample_000237,27.154318,-11.596884,strong&stable
sample_000238,-19.969942,-2.652896,strong&stable
sample_000239,-66.431915,-0.39845833,strong&stable
sample_000240,11.566137,21.168245,strong&stable
sample_000241,6.7268496,14.26617,strong&stable
sample_000242,3.3489769,15.87865,strong&stable
sample_000243,-44.89069,-4.9526796,strong&stable
sample_000244,35.401165,-59.714615,strong&stable
sample_000245,-37.48509,54.11828,strong&stable
sample_000246,-10.7464905,20.991095,strong&stable
sample_000247,-19.251457,14.108824,strong&stable
sample_000248,-19.69315,14.926997,strong&stable
sample_000249,-43.01232,32.422523,strong&stable
sample_000250,-6.960416,15.002132,strong&stable
sample_000251,29.847805,7.4255753,strong&stable
sample_000252,-6.6396947,10.955017,strong&stable
sample_000253,-63.735817,0.8727649,strong&stable
sample_000254,-35.479404,-1.7611815,strong&stable
sample_000255,-33.855057,-16.59266,strong&stable
sample_000256,25.67089,-64.00414,strong&stable
sample_000257,-50.396076,9.665685,strong&stable
